Macrogene,gene,weight
Macrogene 1,marm_CNTNAP2,0.3524417
Macrogene 1,marm_TNR,0.34681937
Macrogene 1,mouse_Ptprm,0.34390035
Macrogene 1,marm_PDGFRA,0.33253738
Macrogene 1,mouse_Cntnap5b,0.3319703
Macrogene 1,marm_CDH18,0.3254694
Macrogene 1,mouse_Cdh11,0.32484725
Macrogene 1,marm_FAT3,0.32089293
Macrogene 1,marm_IL1RAPL2,0.3102299
Macrogene 1,mouse_Pcdh17,0.30505854
Macrogene 1,marm_CDH10,0.30091435
Macrogene 1,marm_PTPRO,0.30002123
Macrogene 1,mouse_Ptprq,0.29591876
Macrogene 1,marm_UNC5C,0.28799385
Macrogene 1,mouse_Ddr1,0.2872783
Macrogene 1,mouse_Il1rapl2,0.2849
Macrogene 1,marm_PTPRR,0.2655972
Macrogene 1,marm_EPHA10,0.24712257
Macrogene 1,mouse_Chl1,0.2447462
Macrogene 1,mouse_Fat3,0.23359706
Macrogene 1,marm_DCBLD2,0.2310369
Macrogene 1,mouse_Tnr,0.23087275
Macrogene 1,marm_ADGRL2,0.2248115
Macrogene 1,marm_PCDH17,0.22156848
Macrogene 1,mouse_Cdh6,0.22069764
Macrogene 1,mouse_Flt3,0.21536775
Macrogene 1,mouse_Cdh18,0.21384133
Macrogene 1,mouse_Unc5c,0.21351996
Macrogene 1,mouse_Sorl1,0.21107796
Macrogene 1,mouse_Pdgfrb,0.20371702
Macrogene 1,mouse_Cntnap5a,0.2020614
Macrogene 1,mouse_Kit,0.2005979
Macrogene 2,mouse_Schip1,0.4243367
Macrogene 2,marm_FRMD6,0.38448995
Macrogene 2,mouse_Frmpd4,0.3392002
Macrogene 2,marm_APBA2,0.3229443
Macrogene 2,marm_FRMPD4,0.32285362
Macrogene 2,mouse_Cnksr2,0.32064438
Macrogene 2,marm_PTPN14,0.25137573
Macrogene 2,marm_ARPP21,0.24081168
Macrogene 2,marm_FRMD3,0.21008572
Macrogene 2,mouse_Frmd6,0.20080018
Macrogene 3,mouse_Fli1,1.3445961
Macrogene 3,mouse_Etv6,1.2626051
Macrogene 3,marm_ETV6,1.1084796
Macrogene 3,marm_ERG,1.0492383
Macrogene 3,mouse_Ets1,1.0100157
Macrogene 3,marm_ETS1,0.92228234
Macrogene 3,marm_FLI1,0.8380242
Macrogene 3,mouse_Erg,0.5135015
Macrogene 3,marm_ETV5,0.4948722
Macrogene 3,marm_ETS2,0.49409953
Macrogene 3,mouse_Etv5,0.36850247
Macrogene 4,marm_MEIG1,1.6388236
Macrogene 4,mouse_Pbx3,1.4386997
Macrogene 4,marm_TSC22D3,1.1337286
Macrogene 4,marm_COPS9,1.1035542
Macrogene 4,marm_AKAIN1,0.98724
Macrogene 4,marm_TCIM,0.7858961
Macrogene 4,marm_JCHAIN,0.76926935
Macrogene 4,marm_CDK2AP1,0.7483954
Macrogene 4,marm_TRPC5OS,0.74482393
Macrogene 4,marm_CDRT4,0.65936697
Macrogene 4,marm_FAM227B,0.6551386
Macrogene 4,mouse_2510009E07Rik,0.65295583
Macrogene 4,mouse_Tsc22d3,0.6057933
Macrogene 4,mouse_6330403K07Rik,0.5977999
Macrogene 4,mouse_St18,0.44361794
Macrogene 4,marm_TMA7,0.44289696
Macrogene 4,marm_CBFB,0.43014267
Macrogene 4,mouse_Lix1,0.40231675
Macrogene 4,mouse_Ttc6,0.3922322
Macrogene 4,marm_PAGE4,0.36251864
Macrogene 4,mouse_Fam78b,0.30632097
Macrogene 4,marm_MEDAG,0.3052674
Macrogene 4,marm_PPP1R1C,0.3026641
Macrogene 4,marm_EID2B,0.2692813
Macrogene 4,mouse_Gad1,0.25704327
Macrogene 5,marm_KMO,0.94602937
Macrogene 6,marm_TIMP1,0.9334884
Macrogene 6,marm_FRZB,0.6210483
Macrogene 6,marm_SFRP5,0.61350673
Macrogene 6,marm_SFRP1,0.5563992
Macrogene 7,mouse_Ppp1r2,1.1307752
Macrogene 7,marm_PALM2AKAP2,1.1111795
Macrogene 7,marm_BAALC,1.0450643
Macrogene 7,marm_MYRIP,0.9781544
Macrogene 7,marm_LUZP1,0.9716454
Macrogene 7,marm_COBL,0.84063065
Macrogene 7,mouse_Pakap,0.7762192
Macrogene 7,mouse_Erbin,0.76911217
Macrogene 7,marm_COBLL1,0.7588391
Macrogene 7,mouse_Lmo7,0.7532648
Macrogene 7,mouse_Arhgap18,0.7101403
Macrogene 7,marm_AVEN,0.67165905
Macrogene 7,marm_FBXO34,0.63782984
Macrogene 7,marm_SCG3,0.636936
Macrogene 7,mouse_Map7,0.6221386
Macrogene 7,marm_PALMD,0.6127337
Macrogene 7,marm_SVIL,0.58203167
Macrogene 7,marm_AFF1,0.53714025
Macrogene 7,mouse_Palmd,0.48450583
Macrogene 7,marm_MTUS2,0.47342512
Macrogene 7,mouse_Cgnl1,0.47145468
Macrogene 7,marm_CALD1,0.44395074
Macrogene 7,marm_SHROOM4,0.44373044
Macrogene 7,marm_NIBAN1,0.4402228
Macrogene 7,mouse_Cobl,0.42530468
Macrogene 7,mouse_1700016K19Rik,0.41842768
Macrogene 7,marm_CRACD,0.4142032
Macrogene 7,marm_FSIP1,0.40739948
Macrogene 7,mouse_Nexn,0.40005448
Macrogene 7,marm_MAP1B,0.3905492
Macrogene 7,marm_CFAP44,0.38700908
Macrogene 7,mouse_Svil,0.38523802
Macrogene 7,marm_STMND1,0.37776834
Macrogene 7,marm_RANBP3L,0.36419883
Macrogene 7,marm_HOATZ,0.35028562
Macrogene 7,mouse_Fam13c,0.34848854
Macrogene 7,mouse_D16Ertd472e,0.3435023
Macrogene 7,marm_ERICH3,0.3273509
Macrogene 7,marm_FAM107A,0.3174072
Macrogene 7,marm_FHOD3,0.2998732
Macrogene 7,mouse_Luzp2,0.29462957
Macrogene 7,marm_RFTN2,0.2919931
Macrogene 7,marm_BCAS1,0.2910679
Macrogene 7,marm_SPATS2L,0.27774146
Macrogene 7,marm_GOLIM4,0.27176544
Macrogene 7,marm_LMO7,0.25791305
Macrogene 7,marm_SNCAIP,0.24825354
Macrogene 7,marm_INSYN2A,0.24440393
Macrogene 7,marm_LCA5,0.24220142
Macrogene 7,marm_CHGB,0.23717661
Macrogene 7,mouse_Aff1,0.2346924
Macrogene 7,marm_TP53BP2,0.22887094
Macrogene 7,marm_KIAA1671,0.22622356
Macrogene 7,mouse_Fam214a,0.20777348
Macrogene 7,marm_MIPOL1,0.20655674
Macrogene 7,mouse_Cobll1,0.20544592
Macrogene 7,marm_CEP85L,0.2053892
Macrogene 8,mouse_Rxfp1,0.73323846
Macrogene 8,mouse_Corin,0.3322479
Macrogene 8,marm_EYS,0.24449538
Macrogene 8,marm_CORIN,0.21134424
Macrogene 9,mouse_Gm9925,1.2135944
Macrogene 9,marm_EID2B,1.0701869
Macrogene 9,marm_MPPED1,0.94047785
Macrogene 9,mouse_Arhgef19,0.8568878
Macrogene 9,mouse_Nnat,0.78341794
Macrogene 9,mouse_1700003F12Rik,0.6454135
Macrogene 9,mouse_Gm1604b,0.58119446
Macrogene 9,mouse_Gm35549,0.47810084
Macrogene 9,mouse_5730522E02Rik,0.2877822
Macrogene 9,mouse_Cenpa,0.2525927
Macrogene 9,mouse_Erich2,0.21567042
Macrogene 10,marm_CXXC4,1.8853842
Macrogene 10,mouse_Cxxc4,1.4896562
Macrogene 10,marm_GATA3,1.4190615
Macrogene 10,mouse_Sp8,1.0811739
Macrogene 10,marm_GATA2,0.7235664
Macrogene 10,marm_GATA6,0.6901906
Macrogene 10,marm_GATA1,0.5560822
Macrogene 10,mouse_Gata2,0.47070116
Macrogene 10,marm_SP8,0.30367568
Macrogene 10,marm_FOXF2,0.2686348
Macrogene 10,mouse_Olig2,0.25667197
Macrogene 10,marm_ZFP36L2,0.2486873
Macrogene 10,mouse_Gata3,0.23807025
Macrogene 11,marm_DNER,1.2685907
Macrogene 11,mouse_Mertk,0.9456533
Macrogene 11,mouse_Rnf112,0.9371361
Macrogene 11,marm_KEL,0.8097093
Macrogene 11,marm_BCAN,0.6719879
Macrogene 11,marm_CBR4,0.6358223
Macrogene 11,mouse_Ntsr2,0.60666585
Macrogene 11,mouse_Rtn4rl1,0.59878194
Macrogene 11,marm_ISG15,0.560796
Macrogene 11,marm_DHX58,0.53285486
Macrogene 11,marm_ARHGEF37,0.47524223
Macrogene 11,marm_NTSR2,0.43903443
Macrogene 11,marm_RTL1,0.4365701
Macrogene 11,marm_LRRC75A,0.43436068
Macrogene 11,marm_SNX22,0.43187863
Macrogene 11,marm_CD22,0.42759562
Macrogene 11,marm_STYK1,0.41129646
Macrogene 11,marm_FBXL16,0.40256545
Macrogene 11,marm_CARNS1,0.3930801
Macrogene 11,marm_RET,0.37520415
Macrogene 11,marm_ROBO4,0.36651686
Macrogene 11,mouse_Fat3,0.36561546
Macrogene 11,marm_TIE1,0.3588744
Macrogene 11,marm_LAMB3,0.35868222
Macrogene 11,marm_NOD1,0.3557218
Macrogene 11,marm_PLA2R1,0.35345247
Macrogene 11,marm_FLT4,0.3449764
Macrogene 11,marm_CLSTN3,0.34475917
Macrogene 11,mouse_Tnfrsf11a,0.33874407
Macrogene 11,marm_MYO16,0.32423908
Macrogene 11,mouse_Tie1,0.32312277
Macrogene 11,mouse_Ret,0.30674326
Macrogene 11,mouse_Styk1,0.29494223
Macrogene 11,mouse_Robo4,0.29428107
Macrogene 11,marm_ADGRG1,0.2940156
Macrogene 11,marm_RNF152,0.28819507
Macrogene 11,marm_DCHS2,0.28793404
Macrogene 11,marm_SORCS2,0.27465633
Macrogene 11,marm_KIFC2,0.26021296
Macrogene 11,marm_SLC22A3,0.25667548
Macrogene 11,marm_NIPAL2,0.2485022
Macrogene 11,mouse_Lrrn2,0.2438755
Macrogene 11,mouse_Cdh22,0.24246636
Macrogene 11,mouse_Icam5,0.24115473
Macrogene 11,marm_SH3TC2,0.23864026
Macrogene 11,mouse_Rskr,0.23225701
Macrogene 11,mouse_Fstl4,0.23003015
Macrogene 11,mouse_Gabrd,0.22141376
Macrogene 11,marm_SH3BP4,0.20789582
Macrogene 13,marm_RAPGEF5,0.6104286
Macrogene 13,marm_ZFYVE28,0.5575319
Macrogene 13,marm_PALD1,0.5472783
Macrogene 13,mouse_Inpp4b,0.46628717
Macrogene 13,marm_INF2,0.41475114
Macrogene 13,marm_PLP1,0.40761828
Macrogene 13,marm_M1AP,0.40606713
Macrogene 13,marm_OTULINL,0.39207664
Macrogene 13,marm_PIK3R5,0.37655684
Macrogene 13,marm_ABTB2,0.37495044
Macrogene 13,marm_CADPS2,0.37260225
Macrogene 13,mouse_Rgs9,0.35980713
Macrogene 13,marm_CAMKMT,0.3465917
Macrogene 13,marm_DOP1B,0.34473875
Macrogene 13,marm_RTTN,0.33660164
Macrogene 13,marm_RGS9,0.33344278
Macrogene 13,marm_SMPD3,0.31874755
Macrogene 13,marm_INPP4B,0.3165985
Macrogene 13,marm_GDPD5,0.31117684
Macrogene 13,marm_RIPOR2,0.30949706
Macrogene 13,marm_PREX1,0.30634773
Macrogene 13,marm_PIK3R6,0.30311227
Macrogene 13,mouse_Smpd3,0.29820547
Macrogene 13,marm_BTG2,0.29711497
Macrogene 13,mouse_Zfyve28,0.2968847
Macrogene 13,mouse_Rgs11,0.2952609
Macrogene 13,marm_MREG,0.2852173
Macrogene 13,marm_STING1,0.2843583
Macrogene 13,marm_WFS1,0.28349027
Macrogene 13,marm_DIXDC1,0.28157556
Macrogene 13,marm_GREB1L,0.27697068
Macrogene 13,marm_WDPCP,0.2767527
Macrogene 13,marm_BRINP1,0.27616087
Macrogene 13,marm_NPHP4,0.27481127
Macrogene 13,marm_ANKRD27,0.27038354
Macrogene 13,marm_FAM83A,0.2648344
Macrogene 13,marm_TENM2,0.26127988
Macrogene 13,marm_BAZ1A,0.25957856
Macrogene 13,marm_FRMPD2,0.25830796
Macrogene 13,marm_PDE3B,0.25624228
Macrogene 13,mouse_Zswim6,0.2542516
Macrogene 13,mouse_Wfs1,0.24798924
Macrogene 13,marm_TTYH2,0.24407649
Macrogene 13,mouse_Prex1,0.240008
Macrogene 13,mouse_Ryr3,0.2374376
Macrogene 13,mouse_Rgs7bp,0.23280525
Macrogene 13,mouse_Kctd16,0.2312625
Macrogene 13,marm_KIF6,0.22789496
Macrogene 13,marm_UST,0.2263926
Macrogene 13,marm_B4GALNT3,0.22617161
Macrogene 13,marm_DOCK10,0.219552
Macrogene 13,mouse_Brinp1,0.21757707
Macrogene 13,mouse_Abtb2,0.21329908
Macrogene 13,marm_TBRG1,0.21082579
Macrogene 13,marm_KCNQ3,0.20745035
Macrogene 13,marm_ANKRD33B,0.20092995
Macrogene 14,mouse_Slc1a2,1.2992328
Macrogene 14,marm_SLC1A2,1.21183
Macrogene 14,marm_SLC1A1,0.9701238
Macrogene 14,marm_SLC1A6,0.85744613
Macrogene 14,mouse_Slc1a1,0.76999545
Macrogene 14,marm_SLC1A3,0.73234314
Macrogene 14,mouse_Slc1a3,0.62930566
Macrogene 14,marm_SLC1A4,0.60902905
Macrogene 14,mouse_Slc1a5,0.605346
Macrogene 14,marm_SLC41A2,0.4298214
Macrogene 15,marm_UNC80,0.7103377
Macrogene 15,mouse_Unc80,0.6051993
Macrogene 15,mouse_Tmem200a,0.6020899
Macrogene 15,mouse_Vangl1,0.5707026
Macrogene 15,mouse_Kcnq3,0.54293394
Macrogene 15,marm_TMEM200A,0.4763462
Macrogene 15,mouse_6430548M08Rik,0.4684912
Macrogene 15,marm_VANGL1,0.45427233
Macrogene 15,mouse_Fryl,0.36571988
Macrogene 15,marm_KCNQ3,0.30070487
Macrogene 15,marm_KSR2,0.25997502
Macrogene 15,mouse_Mast4,0.24792594
Macrogene 16,marm_ILDR2,1.5527529
Macrogene 16,mouse_Ildr2,1.0529162
Macrogene 16,marm_ILDR1,0.5324478
Macrogene 16,mouse_Ildr1,0.35926086
Macrogene 17,marm_SLC35F3,1.2438046
Macrogene 17,mouse_Slc35f3,0.7929021
Macrogene 17,marm_TMEM144,0.69340503
Macrogene 17,marm_SLC35F4,0.64552236
Macrogene 17,marm_SLC35F5,0.61487716
Macrogene 17,mouse_Slc35f4,0.6067075
Macrogene 17,marm_SLC32A1,0.55107206
Macrogene 17,mouse_Slc32a1,0.5387985
Macrogene 17,mouse_Chrm2,0.30218557
Macrogene 18,marm_CEMIP,1.100365
Macrogene 18,mouse_Cemip,1.0865963
Macrogene 18,mouse_Cemip2,0.86038643
Macrogene 18,marm_CEMIP2,0.84136015
Macrogene 19,mouse_Mast3,0.4891099
Macrogene 19,marm_MAST3,0.4653947
Macrogene 19,marm_MAST4,0.41598296
Macrogene 19,marm_PRR5L,0.4053078
Macrogene 19,mouse_Fam83d,0.3840285
Macrogene 19,marm_PPP1R16B,0.38345462
Macrogene 19,mouse_Mast4,0.37116846
Macrogene 19,marm_EIF2AK3,0.34190628
Macrogene 19,marm_MAP3K9,0.33641323
Macrogene 19,marm_MAP3K21,0.3308882
Macrogene 19,mouse_Phactr1,0.32503742
Macrogene 19,marm_SLC45A4,0.31753042
Macrogene 19,marm_KCNH1,0.31172845
Macrogene 19,marm_PLEKHH1,0.31117794
Macrogene 19,marm_MAST1,0.3051168
Macrogene 19,mouse_Dscam,0.28907442
Macrogene 19,marm_ZC3H12C,0.23223594
Macrogene 19,marm_CAMKK1,0.22022565
Macrogene 19,marm_PHACTR1,0.21786444
Macrogene 19,marm_PDZD2,0.21399969
Macrogene 19,mouse_Osbpl3,0.2135716
Macrogene 19,marm_KSR2,0.21294175
Macrogene 20,marm_RPS23,1.0276045
Macrogene 20,mouse_Rpl21,0.9148161
Macrogene 20,mouse_Rpl26,0.9120084
Macrogene 20,mouse_Rpl23,0.90145016
Macrogene 20,mouse_Rpl32,0.7796735
Macrogene 20,mouse_Rps23,0.7666398
Macrogene 20,marm_RPS16,0.6347461
Macrogene 20,mouse_Rps24,0.5235758
Macrogene 20,marm_RPL28,0.43864816
Macrogene 20,mouse_Rpl24,0.4182756
Macrogene 20,marm_RPS26,0.41797045
Macrogene 20,mouse_Rps26,0.41548187
Macrogene 20,mouse_Rps16,0.3760083
Macrogene 20,mouse_Rpl28,0.363956
Macrogene 20,mouse_Rpl34,0.32574633
Macrogene 20,mouse_Rps7,0.2717553
Macrogene 20,mouse_Rpl38,0.25055397
Macrogene 21,mouse_Rad51ap2,0.94727147
Macrogene 21,marm_SHOC1,0.8693705
Macrogene 21,marm_C2CD6,0.78826123
Macrogene 21,mouse_Shoc1,0.74677503
Macrogene 21,marm_SMCO2,0.6085448
Macrogene 21,marm_ZNF804A,0.21323211
Macrogene 22,mouse_Ugt8a,0.39475518
Macrogene 22,marm_ABCC4,0.35070902
Macrogene 22,marm_GRIK1,0.34287065
Macrogene 22,mouse_Abcb1a,0.33935165
Macrogene 22,mouse_Abcc4,0.31844345
Macrogene 22,mouse_Grik1,0.30257565
Macrogene 22,marm_SLC2A13,0.29952085
Macrogene 22,marm_SLC30A8,0.2913604
Macrogene 22,marm_STOML3,0.28578955
Macrogene 22,mouse_Kcna1,0.28047934
Macrogene 22,mouse_Abcb5,0.27947876
Macrogene 22,mouse_Abcg8,0.2665272
Macrogene 22,mouse_Abcc3,0.2653623
Macrogene 22,mouse_Cftr,0.26517037
Macrogene 22,mouse_Abcc6,0.25235292
Macrogene 22,marm_ABCB11,0.24761634
Macrogene 22,mouse_Cyp2j12,0.2473633
Macrogene 22,marm_ABCB5,0.24202283
Macrogene 22,marm_ABCB4,0.2376028
Macrogene 22,marm_ABCC3,0.22575916
Macrogene 22,mouse_Nipal4,0.21491212
Macrogene 22,mouse_Slc7a15,0.21425742
Macrogene 22,mouse_Grm3,0.20681603
Macrogene 23,marm_TMEM108,0.49174923
Macrogene 23,marm_CSPG5,0.48523897
Macrogene 23,mouse_Cspg5,0.4828888
Macrogene 23,mouse_Tmem108,0.44821507
Macrogene 23,mouse_Megf9,0.35764197
Macrogene 23,marm_KIAA1549,0.24128863
Macrogene 23,marm_NCAN,0.22792594
Macrogene 23,mouse_D630045J12Rik,0.21638988
Macrogene 24,marm_LGR4,0.35072437
Macrogene 24,marm_MERTK,0.34213305
Macrogene 24,marm_LRRTM4,0.24741185
Macrogene 24,marm_LGR5,0.24384142
Macrogene 24,marm_GPRC5B,0.2321037
Macrogene 24,marm_RGR,0.22964032
Macrogene 24,marm_LRIG1,0.22120416
Macrogene 24,marm_ADGRD1,0.21968941
Macrogene 24,marm_LRRC31,0.21782549
Macrogene 24,marm_ADGRG1,0.21150889
Macrogene 24,marm_RNF144B,0.20384002
Macrogene 24,marm_GPR176,0.20098817
Macrogene 24,mouse_Lrrtm4,0.20039733
Macrogene 25,marm_MEF2C,1.273228
Macrogene 25,mouse_Glis3,1.2309176
Macrogene 25,mouse_Gli2,0.907327
Macrogene 25,mouse_Gli3,0.7787133
Macrogene 25,marm_GLIS3,0.75562376
Macrogene 25,marm_GLIS1,0.658183
Macrogene 25,mouse_Hlf,0.58193874
Macrogene 25,mouse_Mef2c,0.56699675
Macrogene 25,marm_EGR3,0.5149489
Macrogene 25,marm_MEOX1,0.50164384
Macrogene 25,mouse_Glis1,0.4978456
Macrogene 25,mouse_Tox2,0.46178433
Macrogene 25,mouse_Gli1,0.43741256
Macrogene 25,mouse_Dlx1,0.40687552
Macrogene 25,mouse_Klf4,0.39364892
Macrogene 25,marm_GLI3,0.39113313
Macrogene 25,mouse_Gata3,0.38371888
Macrogene 25,mouse_Tox3,0.3675324
Macrogene 25,mouse_Eya1,0.31623733
Macrogene 25,mouse_Nr3c1,0.2942449
Macrogene 25,mouse_Eya4,0.27244627
Macrogene 25,marm_HLF,0.23461308
Macrogene 25,mouse_Nr3c2,0.22894415
Macrogene 25,marm_RUNX1,0.2267497
Macrogene 25,mouse_Runx2,0.21287307
Macrogene 26,mouse_Cdk14,0.9444279
Macrogene 26,marm_CAMK4,0.74608046
Macrogene 26,marm_DCLK1,0.612189
Macrogene 26,marm_SRPK1,0.53173274
Macrogene 26,marm_MARCHF1,0.50712717
Macrogene 26,mouse_Cdkl5,0.48948455
Macrogene 26,mouse_Dclk3,0.46872517
Macrogene 26,marm_HUNK,0.44540012
Macrogene 26,mouse_Camkk2,0.436107
Macrogene 26,marm_CAMKK1,0.4360578
Macrogene 26,mouse_Hunk,0.431319
Macrogene 26,marm_STK33,0.41137812
Macrogene 26,mouse_Mak,0.40619305
Macrogene 26,marm_CDKL3,0.4057965
Macrogene 26,mouse_Mylk2,0.40389374
Macrogene 26,marm_CDKL2,0.40172338
Macrogene 26,marm_CDKL5,0.3926791
Macrogene 26,mouse_Mylk3,0.38652423
Macrogene 26,mouse_Nek5,0.38351887
Macrogene 26,mouse_Stk33,0.38137117
Macrogene 26,mouse_Mylk4,0.37562093
Macrogene 26,marm_AHI1,0.37412232
Macrogene 26,marm_DCLK3,0.3657839
Macrogene 26,mouse_Kcnb2,0.36573938
Macrogene 26,mouse_Tesk2,0.3444757
Macrogene 26,mouse_Camk4,0.33913952
Macrogene 26,marm_PAK5,0.3261022
Macrogene 26,marm_TESK2,0.323401
Macrogene 26,marm_KCNB2,0.28289774
Macrogene 26,marm_NUAK1,0.2773051
Macrogene 26,marm_MKNK1,0.2754488
Macrogene 26,marm_SIK2,0.271607
Macrogene 26,mouse_Rph3a,0.26561373
Macrogene 26,mouse_Camk2g,0.23076963
Macrogene 26,mouse_Nuak1,0.23039187
Macrogene 26,marm_CAMK2G,0.22706175
Macrogene 26,marm_CAMK2B,0.21393894
Macrogene 26,marm_ARHGAP20,0.20129067
Macrogene 26,marm_NIM1K,0.2012128
Macrogene 27,mouse_Ccr5,0.8910634
Macrogene 27,mouse_Lpar1,0.8504971
Macrogene 27,mouse_Gm5127,0.64860183
Macrogene 27,mouse_Gpat3,0.5922871
Macrogene 27,mouse_Tnfrsf26,0.58822846
Macrogene 27,mouse_Cdh5,0.5873598
Macrogene 27,mouse_Mtnr1a,0.56895256
Macrogene 27,mouse_Adora2a,0.5625967
Macrogene 27,mouse_Ccr4,0.5573568
Macrogene 27,mouse_Agtr1a,0.54053915
Macrogene 27,mouse_Cd180,0.5140122
Macrogene 27,mouse_Dusp15,0.44526264
Macrogene 27,mouse_St3gal6,0.35388166
Macrogene 27,mouse_Ifnar2,0.34598273
Macrogene 27,mouse_Ackr3,0.33730572
Macrogene 27,mouse_Tspo2,0.33043385
Macrogene 27,marm_MLC1,0.2850305
Macrogene 27,mouse_Sema3c,0.2652686
Macrogene 27,mouse_Plau,0.25803488
Macrogene 27,mouse_Mthfs,0.23725915
Macrogene 27,mouse_Egflam,0.23600546
Macrogene 27,mouse_Adgrl4,0.2172288
Macrogene 27,mouse_Smim3,0.20049067
Macrogene 28,mouse_Maml3,1.6770318
Macrogene 28,marm_MAML2,1.4873031
Macrogene 28,mouse_Maml2,1.029353
Macrogene 28,marm_MAML3,0.8273798
Macrogene 28,mouse_Mamld1,0.7121685
Macrogene 28,marm_MN1,0.67488587
Macrogene 28,marm_MAMLD1,0.6546939
Macrogene 28,marm_BICRAL,0.4774646
Macrogene 28,marm_CHD7,0.36776057
Macrogene 29,marm_ST3GAL4,1.3106477
Macrogene 29,mouse_St6gal1,1.0497065
Macrogene 29,marm_ST6GALNAC3,0.9828112
Macrogene 29,mouse_St6galnac3,0.9730788
Macrogene 29,marm_ST3GAL1,0.9523906
Macrogene 29,mouse_St8sia4,0.65651417
Macrogene 29,mouse_St3gal1,0.628174
Macrogene 29,mouse_St8sia5,0.52427393
Macrogene 29,marm_ST8SIA6,0.49147642
Macrogene 29,mouse_St6gal2,0.4815951
Macrogene 29,marm_ST8SIA5,0.47136518
Macrogene 29,marm_ST6GAL1,0.41016456
Macrogene 29,mouse_St8sia6,0.40090916
Macrogene 29,marm_ST8SIA3,0.3845235
Macrogene 29,mouse_St3gal5,0.38123047
Macrogene 29,mouse_St8sia3,0.30850065
Macrogene 30,mouse_Aspa,0.48261803
Macrogene 30,mouse_Pde1a,0.4688449
Macrogene 30,mouse_Pik3r3,0.428678
Macrogene 30,mouse_Sgcz,0.420703
Macrogene 30,mouse_Tmem132d,0.40051392
Macrogene 30,mouse_Dync1i1,0.3984686
Macrogene 30,mouse_Mobp,0.3833314
Macrogene 30,mouse_Enpp2,0.38257012
Macrogene 30,mouse_Chsy3,0.3728383
Macrogene 30,mouse_Sv2b,0.3721297
Macrogene 30,mouse_Me3,0.36162806
Macrogene 30,mouse_Xylt1,0.34596437
Macrogene 30,marm_SESN1,0.340564
Macrogene 30,mouse_Ryr2,0.32869652
Macrogene 30,mouse_Lig1,0.32841045
Macrogene 30,marm_SMC4,0.32678506
Macrogene 30,mouse_Ano3,0.32451203
